mu,sigma
6.259946692356362,2.7025386213135616
8.939662082515708,2.5154917630673292
11.18958400031434,2.5018618479134944
7.3504574056621745,2.518138287035142
3.003044042820748,2.4007353330016974
3.003044042820748,2.4007353330016974
3.003044042820748,2.4007353330016974
2.9830577147133037,2.5399399247868932
3.0276101961376862,2.2967208438263835
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
0.08053909093928668,2.1774547010938115
4.367128756700708,2.145260252481331
11.153075067769723,2.2342895582630335
2.577226082714059,2.118636095559411
2.577226082714059,2.118636095559411
1.7506292329474746,2.1800304207955143
1.7506292329474746,2.1800304207955143
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
0.15102052226659923,2.4052388850908892
3.6256158681265522,2.286723453064989
9.625935544575395,2.2067932878559127
3.369930561496216,2.1917163580496606
0.8967570074312885,2.4089884132358472
0.8967570074312885,2.4089884132358472
0.8967570074312885,2.4089884132358472
0.8967570074312885,2.4089884132358472
0.8967570074312885,2.4089884132358472
1.6782510942733202,2.347561513993699
1.6782510942733202,2.347561513993699
1.6782510942733202,2.347561513993699
1.6782510942733202,2.347561513993699
3.446623925946418,2.4542224760982783
6.030011379178783,2.469163959642754
4.11026408165276,2.5637501579243636
6.316620867030934,2.568329495213527
10.460040440994984,2.5741831692140105
6.584857036519822,2.7920228833707417
7.00159718752563,2.6731986041970095
